,White,Black,Hispanic,Asian,max_diff
Hr Min,0.0,0.0,0.0,0.0,0.0
Hr Max,0.0,0.0,0.0,0.0,0.0
Hr Mean,0.0,0.0,0.0,0.0,0.0
Sbp Min,0.0,0.0,0.0,0.0,0.0
Sbp Max,0.0,0.0,0.0,0.0,0.0
Sbp Mean,0.0,0.0,0.0,0.0,0.0
Map Min,0.0,0.0,0.0,0.0,0.0
Map Max,0.0,0.0,0.0,0.0,0.0
Map Mean,0.0,0.0,0.0,0.0,0.0
Rr Min,0.0007806126,0.0014269954,0.0011388903,0.00059091713,0.00083607825
Rr Max,0.0002356964,0.00041091625,0.0002863769,0.00020229748,0.00020861877
Rr Mean,0.0,0.0,0.0,0.0,0.0
Spo2 Min,0.0,0.0,0.0,0.0,0.0
Spo2 Max,0.0,0.0,0.0,0.0,0.0
Spo2 Mean,0.0,0.0,0.0,0.0,0.0
Temp C Min,0.0016225361,0.0012126021,0.001188297,0.0027805779,0.0015922808
Temp C Max,0.0,0.0,0.0,0.0,0.0
Temp C Mean,0.0,0.0,0.0,0.0,0.0
Gcs Total Min,0.0046155825,0.0042362297,0.00853709,0.006699891,0.0043008607
Gcs Total Mean,0.0,0.0,0.0,0.0,0.0
Creatinine,0.0018415638,0.0018893962,0.0019837574,0.002650219,0.00080865517
Bun,0.0,0.0,0.0,0.0,0.0
Lactate,0.068584904,0.06747581,0.06361107,0.06979318,0.006182112
Hemoglobin,0.00065007684,0.00081099244,0.0007278459,0.0006768896,0.0001609156
Hematocrit,0.010165821,0.012413783,0.010107413,0.014468688,0.0043612747
Platelets,0.00018587572,0.00023940421,0.00018969088,0.00021156012,5.3528493e-05
Wbc,0.007845919,0.009541573,0.007690777,0.009439598,0.0018507959
Sodium,0.00023030427,0.00020905863,0.00015988405,0.00039715323,0.00023726918
Potassium,0.0006963872,0.00078582513,0.0010013686,0.0005960981,0.00040527055
Bicarbonate,0.00050698087,0.00047788053,0.0006532774,0.00045863303,0.00019464435
Chloride,0.0,0.0,0.0,0.0,0.0
Glucose,0.0009734667,0.0009345707,0.001377041,0.0009818539,0.0004424703
Pao2,0.0047676647,0.0051561873,0.004574639,0.0045188777,0.0006373096
Paco2,0.0043866457,0.0046620253,0.004404563,0.004009439,0.0006525861
Ph,0.006230766,0.006049816,0.006722728,0.0067397165,0.0006899005
Alt,0.024426965,0.02065428,0.020702843,0.022165243,0.0037726853
Ast,0.024526855,0.020763436,0.023280485,0.023325492,0.0037634186
Bilirubin,0.009890562,0.008272093,0.009908691,0.010692328,0.0024202354
Albumin,0.0023679573,0.0026422604,0.0027265763,0.0027471606,0.00037920335
Inr,0.011281716,0.010849994,0.0121247,0.012939071,0.0020890776
Ptt,0.021228844,0.024241406,0.022812502,0.023057153,0.0030125622
Troponin,0.0,0.0,0.0,0.0,0.0
Urine Output 24H,0.02860528,0.03246117,0.036085736,0.032400187,0.0074804556
Elixhauser Count,0.0,0.0,0.0,0.0,0.0
